Date,Mode,Count
3/1/2020,AAR,"19,922"
3/1/2020,Subway,"2,212,965"
3/1/2020,SIR,"1,636"
3/1/2020,LIRR,"86,790"
3/1/2020,Bus,"984,908"
3/1/2020,BT,"690,074"
3/1/2020,MNR,"55,825"
3/2/2020,BT,"766,591"
3/2/2020,Subway,"5,329,915"
3/2/2020,SIR,"17,140"
3/2/2020,MNR,"180,701"
3/2/2020,LIRR,"321,569"
3/2/2020,Bus,"2,209,066"
3/2/2020,AAR,"30,338"
3/3/2020,BT,"773,392"
3/3/2020,Subway,"5,481,103"
3/3/2020,SIR,"17,453"
3/3/2020,MNR,"190,648"
3/3/2020,LIRR,"319,727"
3/3/2020,Bus,"2,228,608"
3/3/2020,AAR,"32,767"
3/4/2020,AAR,"34,297"
3/4/2020,Subway,"5,498,809"
3/4/2020,SIR,"17,136"
3/4/2020,MNR,"192,689"
3/4/2020,LIRR,"311,662"
3/4/2020,Bus,"2,177,165"
3/4/2020,BT,"794,316"
3/5/2020,MNR,"194,386"
3/5/2020,Subway,"5,496,453"
3/5/2020,SIR,"17,203"
3/5/2020,LIRR,"307,597"
3/5/2020,Bus,"2,244,515"
3/5/2020,BT,"816,054"
3/5/2020,AAR,"33,209"
3/6/2020,BT,"830,505"
3/6/2020,Subway,"5,189,447"
3/6/2020,SIR,"15,285"
3/6/2020,MNR,"205,056"
3/6/2020,LIRR,"289,171"
3/6/2020,Bus,"2,066,743"
3/6/2020,AAR,"30,970"
3/7/2020,BT,"722,378"
3/7/2020,Subway,"2,814,637"
3/7/2020,SIR,"2,445"
3/7/2020,MNR,"75,838"
3/7/2020,LIRR,"106,058"
3/7/2020,Bus,"1,249,085"
3/7/2020,AAR,"18,117"
3/8/2020,BT,"669,603"
3/8/2020,Subway,"2,120,656"
3/8/2020,SIR,"1,672"
3/8/2020,MNR,"60,800"
3/8/2020,LIRR,"81,565"
3/8/2020,Bus,"957,163"
3/8/2020,AAR,"19,477"
3/9/2020,AAR,"29,609"
3/9/2020,Subway,"4,973,513"
3/9/2020,SIR,"16,122"
3/9/2020,MNR,"183,953"
3/9/2020,LIRR,"277,001"
3/9/2020,Bus,"2,124,770"
3/9/2020,BT,"754,118"
3/10/2020,AAR,"31,315"
3/10/2020,Subway,"4,867,818"
3/10/2020,SIR,"15,805"
3/10/2020,MNR,"179,050"
3/10/2020,LIRR,"259,324"
3/10/2020,Bus,"2,111,989"
3/10/2020,BT,"747,295"
3/11/2020,BT,"757,001"
3/11/2020,Subway,"4,697,122"
3/11/2020,SIR,"15,340"
3/11/2020,MNR,"175,074"
3/11/2020,LIRR,"245,798"
3/11/2020,Bus,"2,112,967"
3/11/2020,AAR,"32,198"
3/12/2020,BT,"772,233"
3/12/2020,Subway,"4,149,505"
3/12/2020,SIR,"14,169"
3/12/2020,MNR,"169,547"
3/12/2020,LIRR,"197,178"
3/12/2020,Bus,"1,938,424"
3/12/2020,AAR,"30,814"
3/13/2020,BT,"751,270"
3/13/2020,Subway,"3,484,996"
3/13/2020,SIR,"11,769"
3/13/2020,MNR,"167,176"
3/13/2020,LIRR,"158,582"
3/13/2020,Bus,"1,715,737"
3/13/2020,AAR,"26,640"
3/14/2020,AAR,"13,394"
3/14/2020,Subway,"1,670,665"
3/14/2020,SIR,"2,135"
3/14/2020,MNR,"39,701"
3/14/2020,LIRR,"44,885"
3/14/2020,Bus,"993,287"
3/14/2020,BT,"544,028"
3/15/2020,AAR,"12,480"
3/15/2020,Subway,"1,157,711"
3/15/2020,SIR,"1,368"
3/15/2020,MNR,"32,641"
