Month,Agency,Projection,Recovery
10/1/2020,Subway,Best Case (Dec 2020),0.33
10/1/2020,Subway,Midpoint (Dec 2020),0.33
10/1/2020,Subway,Worst Case (Dec 2020),0.33
10/1/2020,Bus,Best Case (Dec 2020),0.45
10/1/2020,Bus,Midpoint (Dec 2020),0.45
10/1/2020,Bus,Worst Case (Dec 2020),0.45
10/1/2020,LIRR,Best Case (Dec 2020),0.25
10/1/2020,LIRR,Midpoint (Dec 2020),0.25
10/1/2020,LIRR,Worst Case (Dec 2020),0.25
10/1/2020,MNR,Best Case (Dec 2020),0.23
10/1/2020,MNR,Midpoint (Dec 2020),0.23
10/1/2020,MNR,Worst Case (Dec 2020),0.23
10/1/2020,SIR,Best Case (Dec 2020),0.33
10/1/2020,SIR,Midpoint (Dec 2020),0.33
10/1/2020,SIR,Worst Case (Dec 2020),0.33
10/1/2020,BT,Best Case (May 2020),0.65
10/1/2020,BT,Midpoint (May 2020),0.5
10/1/2020,BT,Worst Case (May 2020),0.35
10/1/2020,BT,Best Case (Nov 2020),0.87
10/1/2020,BT,Midpoint (Nov 2020),0.87
10/1/2020,BT,Worst Case (Nov 2020),0.87
10/1/2020,BT,Best Case (Dec 2020),0.87
10/1/2020,BT,Midpoint (Dec 2020),0.87
10/1/2020,BT,Worst Case (Dec 2020),0.87
10/1/2020,MTA Consolidated,Best Case (May 2020),0.45
10/1/2020,MTA Consolidated,Midpoint (May 2020),0.225
10/1/2020,MTA Consolidated,Worst Case (May 2020),0
10/1/2020,MTA Consolidated,Best Case (Nov 2020),0.33
10/1/2020,MTA Consolidated,Midpoint (Nov 2020),0.33
10/1/2020,MTA Consolidated,Worst Case (Nov 2020),0.33
10/1/2020,MTA Consolidated,Best Case (Dec 2020),0.36
10/1/2020,MTA Consolidated,Midpoint (Dec 2020),0.36
10/1/2020,MTA Consolidated,Worst Case (Dec 2020),0.36
11/1/2020,Subway,Best Case (Dec 2020),0.33
11/1/2020,Subway,Midpoint (Dec 2020),0.33
11/1/2020,Subway,Worst Case (Dec 2020),0.33
11/1/2020,Bus,Best Case (Dec 2020),0.45
11/1/2020,Bus,Midpoint (Dec 2020),0.45
11/1/2020,Bus,Worst Case (Dec 2020),0.45
11/1/2020,LIRR,Best Case (Dec 2020),0.25
11/1/2020,LIRR,Midpoint (Dec 2020),0.25
11/1/2020,LIRR,Worst Case (Dec 2020),0.25
11/1/2020,MNR,Best Case (Dec 2020),0.23
11/1/2020,MNR,Midpoint (Dec 2020),0.23
11/1/2020,MNR,Worst Case (Dec 2020),0.23
11/1/2020,SIR,Best Case (Dec 2020),0.33
11/1/2020,SIR,Midpoint (Dec 2020),0.33
11/1/2020,SIR,Worst Case (Dec 2020),0.33
11/1/2020,BT,Best Case (May 2020),0.65
11/1/2020,BT,Midpoint (May 2020),0.5
11/1/2020,BT,Worst Case (May 2020),0.35
11/1/2020,BT,Best Case (Nov 2020),0.87
11/1/2020,BT,Midpoint (Nov 2020),0.87
11/1/2020,BT,Worst Case (Nov 2020),0.87
11/1/2020,BT,Best Case (Dec 2020),0.87
11/1/2020,BT,Midpoint (Dec 2020),0.87
11/1/2020,BT,Worst Case (Dec 2020),0.87
11/1/2020,MTA Consolidated,Best Case (May 2020),0.45
11/1/2020,MTA Consolidated,Midpoint (May 2020),0.225
11/1/2020,MTA Consolidated,Worst Case (May 2020),0
11/1/2020,MTA Consolidated,Best Case (Nov 2020),0.33
11/1/2020,MTA Consolidated,Midpoint (Nov 2020),0.33
11/1/2020,MTA Consolidated,Worst Case (Nov 2020),0.33
11/1/2020,MTA Consolidated,Best Case (Dec 2020),0.36
11/1/2020,MTA Consolidated,Midpoint (Dec 2020),0.36
11/1/2020,MTA Consolidated,Worst Case (Dec 2020),0.36
12/1/2020,Subway,Best Case (Dec 2020),0.33
12/1/2020,Subway,Midpoint (Dec 2020),0.33
12/1/2020,Subway,Worst Case (Dec 2020),0.33
12/1/2020,Bus,Best Case (Dec 2020),0.45
12/1/2020,Bus,Midpoint (Dec 2020),0.45
12/1/2020,Bus,Worst Case (Dec 2020),0.45
12/1/2020,LIRR,Best Case (Dec 2020),0.25
12/1/2020,LIRR,Midpoint (Dec 2020),0.25
12/1/2020,LIRR,Worst Case (Dec 2020),0.25
12/1/2020,MNR,Best Case (Dec 2020),0.23
12/1/2020,MNR,Midpoint (Dec 2020),0.23
12/1/2020,MNR,Worst Case (Dec 2020),0.23
12/1/2020,SIR,Best Case (Dec 2020),0.33
12/1/2020,SIR,Midpoint (Dec 2020),0.33
